index,db,name,tissue,ann,ann_simplify,CL,translate
MCA_Lung_Endothelial cell_Mmrn1 high,MCA,One-Year-Lung,Lung,Endothelial cell_Mmrn1 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Lung_Endothelial cell_Mmrn1 high,MCA,Three-Weeks-Lung,Lung,Endothelial cell_Mmrn1 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Uterus_Endothelial cell_Mmrn1 high,MCA,Two-Years-Uterus,Uterus,Endothelial cell_Mmrn1 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Brain_Endothelial cell_Myl9 high/Myoendothelial,MCA,Neonatal-Brain,Brain,Endothelial cell_Myl9 high/Myoendothelial,Endothelial cell_Myl9 high/Myoendothelial,endothelial cell,内皮细胞
HCL_Heart_Endothelial cell_NEAT1 high,HCL,Adult-Heart2,Heart,Endothelial cell_NEAT1 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Liver_Endothelial cell_Nts high,MCA,Ten-Days-Liver,Liver,Endothelial cell_Nts high,Endothelial cell,endothelial cell,内皮细胞
HCL_Pancreas_Endothelial cell_NTS high,HCL,Fetal-Pancreas1,Pancreas,Endothelial cell_NTS high,Endothelial cell,endothelial cell,内皮细胞
MCA_Uterus_Endothelial cell_Nts high,MCA,One-Year-Uterus,Uterus,Endothelial cell_Nts high,Endothelial cell,endothelial cell,内皮细胞
MCA_Heart_Endothelial cell_Plvap high,MCA,Adult-Heart,Heart,Endothelial cell_Plvap high,Endothelial cell,endothelial cell,内皮细胞
MCA_Heart_Endothelial cell_Plvap high,MCA,Fetal-Heart,Heart,Endothelial cell_Plvap high,Endothelial cell,endothelial cell,内皮细胞
HCL_Kidney_Endothelial cell_PLVAP high,HCL,Fetal-Kidney6,Kidney,Endothelial cell_PLVAP high,Endothelial cell,endothelial cell,内皮细胞
HCL_Kidney_Endothelial cell_PLVAP high,HCL,Fetal-Kidney4,Kidney,Endothelial cell_PLVAP high,Endothelial cell,endothelial cell,内皮细胞
HCL_Kidney_Endothelial cell_PLVAP high,HCL,Fetal-Kidney5,Kidney,Endothelial cell_PLVAP high,Endothelial cell,endothelial cell,内皮细胞
HCL_Kidney_Endothelial cell_PLVAP high,HCL,Fetal-Kidney3,Kidney,Endothelial cell_PLVAP high,Endothelial cell,endothelial cell,内皮细胞
HCL_Pancreas_Endothelial cell_PLVAP high,HCL,Fetal-Pancreas3,Pancreas,Endothelial cell_PLVAP high,Endothelial cell,endothelial cell,内皮细胞
HCL_Muscle_Endothelial cell_PODXL high,HCL,Adult-Muscle1,Muscle,Endothelial cell_PODXL high,Endothelial cell,endothelial cell,内皮细胞
MCA_Liver_Endothelial cell_Rspo3 high,MCA,One-Year-Liver,Liver,Endothelial cell_Rspo3 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Liver_Endothelial cell_Rspo3 high,MCA,Two-Years-Liver,Liver,Endothelial cell_Rspo3 high,Endothelial cell,endothelial cell,内皮细胞
HCL_Lung_Endothelial cell_SELE high,HCL,Adult-Lung2,Lung,Endothelial cell_SELE high,Endothelial cell,endothelial cell,内皮细胞
HCL_Lung_Endothelial cell_SELE high,HCL,Adult-Lung1,Lung,Endothelial cell_SELE high,Endothelial cell,endothelial cell,内皮细胞
HCL_Stomach_Endothelial cell_SELE high,HCL,Adult-Stomach2,Stomach,Endothelial cell_SELE high,Endothelial cell,endothelial cell,内皮细胞
MCA_Uterus_Endothelial cell_Selp high,MCA,Eighteen-Months-Uterus,Uterus,Endothelial cell_Selp high,Endothelial cell,endothelial cell,内皮细胞
MCA_Liver_Endothelial cell_Serinc3 high,MCA,Three-Weeks-Liver,Liver,Endothelial cell_Serinc3 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Kidney_Endothelial cell_Serpine2 high,MCA,One-Year-Kidney,Kidney,Endothelial cell_Serpine2 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Kidney_Endothelial cell_Serpine2 high,MCA,Two-Years-Kidney,Kidney,Endothelial cell_Serpine2 high,Endothelial cell,endothelial cell,内皮细胞
HCL_Kidney_Endothelial cell_SLC2A3 high,HCL,Adult-Kidney4,Kidney,Endothelial cell_SLC2A3 high,Endothelial cell,endothelial cell,内皮细胞
HCL_Uterus_Endothelial cell_SOCS3 high,HCL,Adult-Uterus1,Uterus,Endothelial cell_SOCS3 high,Endothelial cell,endothelial cell,内皮细胞
HCL_Lung_Endothelial cell_SPARCL1 high,HCL,Adult-Lung3,Lung,Endothelial cell_SPARCL1 high,Endothelial cell,endothelial cell,内皮细胞
HCL_Adrenal-Gland_Endothelial cell_STC1 high,HCL,Fetal-Adrenal-Gland2,Adrenal-Gland,Endothelial cell_STC1 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Pancreas_Endothelial cell_Tm4sf1 high,MCA,Adult-Pancreas,Pancreas,Endothelial cell_Tm4sf1 high,Endothelial cell,endothelial cell,内皮细胞
HCL_Stomach_Endothelial cell_TM4SF1 high,HCL,Fetal-Stomach2,Stomach,Endothelial cell_TM4SF1 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Stomach_Endothelial cell_Tm4sf1 high,MCA,Ten-Days-Stomach,Stomach,Endothelial cell_Tm4sf1 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Uterus_Endothelial cell_Tm4sf1 high,MCA,Adult-Uterus,Uterus,Endothelial cell_Tm4sf1 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Uterus_Endothelial cell_Tm4sf1 high,MCA,One-Year-Uterus,Uterus,Endothelial cell_Tm4sf1 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Uterus_Endothelial cell_Tm4sf1 high,MCA,Ten-Days-Uterus,Uterus,Endothelial cell_Tm4sf1 high,Endothelial cell,endothelial cell,内皮细胞
HCL_Lung_Endothelial cell_TMEM100 high,HCL,Adult-Lung2,Lung,Endothelial cell_TMEM100 high,Endothelial cell,endothelial cell,内皮细胞
HCL_Lung_Endothelial cell_TMEM100 high,HCL,Adult-Lung1,Lung,Endothelial cell_TMEM100 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Lung_Endothelial cell_Tmem100 high,MCA,Adult-Lung,Lung,Endothelial cell_Tmem100 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Lung_Endothelial cell_Tspan7 high,MCA,Three-Weeks-Lung,Lung,Endothelial cell_Tspan7 high,Endothelial cell,endothelial cell,内皮细胞
MCA_Heart_Endothelial cell_Vtn high,MCA,Adult-Heart,Heart,Endothelial cell_Vtn high,Endothelial cell,endothelial cell,内皮细胞
HCL_Adrenal-Gland_Endothelial cell_VWF high,HCL,Adult-Adrenal-Gland3,Adrenal-Gland,Endothelial cell_VWF high,Endothelial cell,endothelial cell,内皮细胞
HCL_Lung_Endothelial cell_VWF high,HCL,Adult-Lung2,Lung,Endothelial cell_VWF high,Endothelial cell,endothelial cell,内皮细胞
HCL_Lung_Endothelial cell_VWF high,HCL,Adult-Lung1,Lung,Endothelial cell_VWF high,Endothelial cell,endothelial cell,内皮细胞
MCA_Lung_Endothelial cell_Vwf high,MCA,Adult-Lung,Lung,Endothelial cell_Vwf high,Endothelial cell,endothelial cell,内皮细胞
MCA_Lung_Endothelial cell_Vwf high,MCA,Eighteen-Months-Lung,Lung,Endothelial cell_Vwf high,Endothelial cell,endothelial cell,内皮细胞
HCL_Muscle_Endothelial cell_VWF high,HCL,Adult-Muscle1,Muscle,Endothelial cell_VWF high,Endothelial cell,endothelial cell,内皮细胞
MCA_Heart_Endothelial cell_Wif1 high,MCA,Two-Years-Heart,Heart,Endothelial cell_Wif1 high,Endothelial cell,endothelial cell,内皮细胞
HCL_Intestine_Endothelial progenitor cell,HCL,Adult-Ileum2,Intestine,Endothelial progenitor cell,Endothelial progenitor cell,endothelial cell,内皮细胞
HCL_Intestine_Enterocyte,HCL,Adult-Ileum2,Intestine,Enterocyte,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte,HCL,Adult-Epityphlon,Intestine,Enterocyte,Enterocyte,enterocyte,肠上皮细胞
HCL_Stomach_Enterocyte,HCL,Fetal-Stomach2,Stomach,Enterocyte,Enterocyte,foveolar cell of stomach,胃小凹细胞
HCL_Intestine_Enterocyte ,HCL,Fetal-Intestine2,Intestine,Enterocyte ,Enterocyte ,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte (mature distal)_Anpep high,MCA,Ten-Days-Intestine,Intestine,Enterocyte (mature distal)_Anpep high,Enterocyte (mature distal),enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte (mature distal)_Isg15 high,MCA,Ten-Days-Intestine,Intestine,Enterocyte (mature distal)_Isg15 high,Enterocyte (mature distal),enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte (mature proximal)_Apoa1 high,MCA,Three-Weeks-Intestine,Intestine,Enterocyte (mature proximal)_Apoa1 high,Enterocyte (mature proximal),enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte (mature proximal)_Apoc1 high,MCA,Ten-Days-Intestine,Intestine,Enterocyte (mature proximal)_Apoc1 high,Enterocyte (mature proximal),enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte (mature proximal)_Gpx3 high,MCA,Ten-Days-Intestine,Intestine,Enterocyte (mature proximal)_Gpx3 high,Enterocyte (mature proximal),enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte (mature proximal)_Reg1 high,MCA,Three-Weeks-Intestine,Intestine,Enterocyte (mature proximal)_Reg1 high,Enterocyte (mature proximal),enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte (mature proximal)_S100g high,MCA,Three-Weeks-Intestine,Intestine,Enterocyte (mature proximal)_S100g high,Enterocyte (mature proximal),enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte (pathogen infection),MCA,Three-Weeks-Intestine,Intestine,Enterocyte (pathogen infection),Enterocyte (pathogen infection),enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte immature distal,MCA,Small-Intestinal-Epithelium,Intestine,Enterocyte immature distal,Enterocyte immature distal,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte immature proximal,MCA,Small-Intestinal-Epithelium,Intestine,Enterocyte immature proximal,Enterocyte immature proximal,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte mature distal,MCA,Small-Intestinal-Epithelium,Intestine,Enterocyte mature distal,Enterocyte mature distal,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte mature proximal,MCA,Small-Intestinal-Epithelium,Intestine,Enterocyte mature proximal,Enterocyte mature proximal,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte progenitor,HCL,Adult-Ascending-Colon1,Intestine,Enterocyte progenitor,Enterocyte progenitor,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte progenitor,HCL,Adult-Sigmoid-Colon1,Intestine,Enterocyte progenitor,Enterocyte progenitor,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte progenitor,HCL,Adult-Transverse-Colon1,Intestine,Enterocyte progenitor,Enterocyte progenitor,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte progenitor,HCL,Adult-Duodenum1,Intestine,Enterocyte progenitor,Enterocyte progenitor,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte progenitor,HCL,Adult-Transverse-Colon2,Intestine,Enterocyte progenitor,Enterocyte progenitor,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte progenitor,MCA,Small-Intestinal-Epithelium,Intestine,Enterocyte progenitor,Enterocyte progenitor,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte progenitor early,MCA,Small-Intestinal-Epithelium,Intestine,Enterocyte progenitor early,Enterocyte progenitor early,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte progenitor late,MCA,Small-Intestinal-Epithelium,Intestine,Enterocyte progenitor late,Enterocyte progenitor late,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte progenitor_APOA4 high,HCL,Fetal-Intestine1,Intestine,Enterocyte progenitor_APOA4 high,Enterocyte progenitor,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte progenitor_APOA4 high,HCL,Fetal-Intestine3,Intestine,Enterocyte progenitor_APOA4 high,Enterocyte progenitor,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte progenitor_GUCA2B high,HCL,Fetal-Intestine3,Intestine,Enterocyte progenitor_GUCA2B high,Enterocyte progenitor,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte progenitor_OLFM4 high,HCL,Adult-Ileum2,Intestine,Enterocyte progenitor_OLFM4 high,Enterocyte progenitor,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte progenitor_OLFM4 high,HCL,Adult-JeJunum2,Intestine,Enterocyte progenitor_OLFM4 high,Enterocyte progenitor,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte progenitor_REG1A high,HCL,Adult-Ileum2,Intestine,Enterocyte progenitor_REG1A high,Enterocyte progenitor,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Afp high,MCA,Neonatal-Intestine,Intestine,Enterocyte_Afp high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_AGR2 high,HCL,Fetal-Intestine4,Intestine,Enterocyte_AGR2 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Anpep high,MCA,Ten-Days-Intestine,Intestine,Enterocyte_Anpep high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_APOA1 high,HCL,Adult-Duodenum1,Intestine,Enterocyte_APOA1 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_APOA1 high,HCL,Adult-JeJunum2,Intestine,Enterocyte_APOA1 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Apoa1 high,MCA,Three-Weeks-Intestine,Intestine,Enterocyte_Apoa1 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_APOA4 high,HCL,Fetal-Intestine4,Intestine,Enterocyte_APOA4 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_APOA4 high,HCL,Fetal-Intestine5,Intestine,Enterocyte_APOA4 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Apoa4 high,MCA,Two-Years-Intestine,Intestine,Enterocyte_Apoa4 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Apoc3 high,MCA,Eighteen-Months-Intestine,Intestine,Enterocyte_Apoc3 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_BAG3 high,HCL,Adult-Rectum1,Intestine,Enterocyte_BAG3 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_BEST4 high,HCL,Adult-Transverse-Colon1,Intestine,Enterocyte_BEST4 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_BEST4 high,HCL,Adult-Duodenum1,Intestine,Enterocyte_BEST4 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_BEST4 high,HCL,Adult-Transverse-Colon2,Intestine,Enterocyte_BEST4 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_CA1 high,HCL,Adult-Transverse-Colon2,Intestine,Enterocyte_CA1 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_CA7 high,HCL,Adult-Ascending-Colon1,Intestine,Enterocyte_CA7 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_CA7 high,HCL,Adult-Sigmoid-Colon1,Intestine,Enterocyte_CA7 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_CA7 high,HCL,Adult-Rectum1,Intestine,Enterocyte_CA7 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_CA7 high,HCL,Adult-Transverse-Colon2,Intestine,Enterocyte_CA7 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Ctrb1 high,MCA,Ten-Days-Intestine,Intestine,Enterocyte_Ctrb1 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_FABP1 high,HCL,Fetal-Intestine3,Intestine,Enterocyte_FABP1 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Fabp1 high,MCA,Adult-Intestine,Intestine,Enterocyte_Fabp1 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Fabp1 high,MCA,Neonatal-Intestine,Intestine,Enterocyte_Fabp1 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Fabp1 high,MCA,Two-Years-Intestine,Intestine,Enterocyte_Fabp1 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Fabp6 high,MCA,Adult-Intestine,Intestine,Enterocyte_Fabp6 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Fabp6 high,MCA,Eighteen-Months-Intestine,Intestine,Enterocyte_Fabp6 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Fabp6 high,MCA,Two-Years-Intestine,Intestine,Enterocyte_Fabp6 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Fgf15 high,MCA,Neonatal-Intestine,Intestine,Enterocyte_Fgf15 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Gm23935 high,MCA,Adult-Intestine,Intestine,Enterocyte_Gm23935 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_GSTA1 high,HCL,Fetal-Intestine1,Intestine,Enterocyte_GSTA1 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_GSTA1 high,HCL,Fetal-Intestine5,Intestine,Enterocyte_GSTA1 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_GSTA1 high,HCL,Adult-Duodenum1,Intestine,Enterocyte_GSTA1 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Gsta1 high,MCA,One-Year-Intestine,Intestine,Enterocyte_Gsta1 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_GUCA2A high,HCL,Fetal-Intestine5,Intestine,Enterocyte_GUCA2A high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_GUCA2A high,HCL,Fetal-Intestine3,Intestine,Enterocyte_GUCA2A high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_GUCA2A high,HCL,Adult-Sigmoid-Colon1,Intestine,Enterocyte_GUCA2A high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_MT gene high,HCL,Adult-Duodenum1,Intestine,Enterocyte_MT gene high,Enterocyte_MT gene high,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_mt high,MCA,Adult-Intestine,Intestine,Enterocyte_mt high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_OTOP2 high,HCL,Adult-Rectum1,Intestine,Enterocyte_OTOP2 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_PHGR1 high,HCL,Adult-Transverse-Colon2,Intestine,Enterocyte_PHGR1 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_RBP2 high,HCL,Adult-JeJunum2,Intestine,Enterocyte_RBP2 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Reg1 high,MCA,Eighteen-Months-Intestine,Intestine,Enterocyte_Reg1 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Reg3b high,MCA,One-Year-Intestine,Intestine,Enterocyte_Reg3b high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_RN7SK high,HCL,Adult-Sigmoid-Colon1,Intestine,Enterocyte_RN7SK high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_RPS2P46 high,HCL,Fetal-Intestine1,Intestine,Enterocyte_RPS2P46 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_S100g high,MCA,Adult-Intestine,Intestine,Enterocyte_S100g high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_S100g high,MCA,One-Year-Intestine,Intestine,Enterocyte_S100g high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_S100g high,MCA,Two-Years-Intestine,Intestine,Enterocyte_S100g high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_SELENBP1 high,HCL,Adult-Transverse-Colon2,Intestine,Enterocyte_SELENBP1 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Selenop high,MCA,One-Year-Intestine,Intestine,Enterocyte_Selenop high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_SLC26A3 high,HCL,Adult-Rectum1,Intestine,Enterocyte_SLC26A3 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_SLC26A3 high,HCL,Adult-Transverse-Colon1,Intestine,Enterocyte_SLC26A3 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_SLC26A3 high,HCL,Adult-Transverse-Colon2,Intestine,Enterocyte_SLC26A3 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enterocyte_TSPAN8 high,HCL,Fetal-Intestine3,Intestine,Enterocyte_TSPAN8 high,Enterocyte,enterocyte,肠上皮细胞
MCA_Intestine_Enterocyte_Wfdc2 high,MCA,Two-Years-Intestine,Intestine,Enterocyte_Wfdc2 high,Enterocyte,enterocyte,肠上皮细胞
HCL_Intestine_Enteroendocrine cell,HCL,Fetal-Intestine1,Intestine,Enteroendocrine cell,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
HCL_Intestine_Enteroendocrine cell,HCL,Adult-JeJunum2,Intestine,Enteroendocrine cell,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
MCA_Intestine_Enteroendocrine cell,MCA,One-Year-Intestine,Intestine,Enteroendocrine cell,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
MCA_Intestine_Enteroendocrine cell,MCA,Ten-Days-Intestine,Intestine,Enteroendocrine cell,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
MCA_Intestine_Enteroendocrine cell,MCA,Three-Weeks-Intestine,Intestine,Enteroendocrine cell,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
MCA_Intestine_Enteroendocrine cell,MCA,Two-Years-Intestine,Intestine,Enteroendocrine cell,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
MCA_Intestine_Enteroendocrine cell_Cck high,MCA,Eighteen-Months-Intestine,Intestine,Enteroendocrine cell_Cck high,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
HCL_Intestine_Enteroendocrine cell_CFL1 high,HCL,Fetal-Intestine5,Intestine,Enteroendocrine cell_CFL1 high,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
MCA_Intestine_Enteroendocrine cell_Chgb high,MCA,Adult-Intestine,Intestine,Enteroendocrine cell_Chgb high,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
MCA_Intestine_Enteroendocrine cell_Chgb high,MCA,Eighteen-Months-Intestine,Intestine,Enteroendocrine cell_Chgb high,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
MCA_Intestine_Enteroendocrine cell_Chgb high,MCA,Fetal-Intestine,Intestine,Enteroendocrine cell_Chgb high,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
MCA_Intestine_Enteroendocrine cell_Chgb high,MCA,Neonatal-Intestine,Intestine,Enteroendocrine cell_Chgb high,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
MCA_Intestine_Enteroendocrine cell_Gcg high,MCA,Neonatal-Intestine,Intestine,Enteroendocrine cell_Gcg high,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
MCA_Intestine_Enteroendocrine cell_Gip high,MCA,Adult-Intestine,Intestine,Enteroendocrine cell_Gip high,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
HCL_Intestine_Enteroendocrine cell_MLN high,HCL,Fetal-Intestine5,Intestine,Enteroendocrine cell_MLN high,Enteroendocrine cell,Enteroendocrine cell,肠道内分泌细胞
MCA_Bone-Marrow_Eosinophil,MCA,Bone-Marrow_c-kit,Bone-Marrow,Eosinophil,Eosinophil,neutrophil,中性粒细胞
MCA_Bone-Marrow_Eosinophil,MCA,Bone-Marrow-Mesenchyme,Bone-Marrow,Eosinophil,Eosinophil,neutrophil,中性粒细胞
MCA_Brain_Eosinophil,MCA,Two-Years-Brain,Brain,Eosinophil,Eosinophil,neutrophil,中性粒细胞
MCA_Heart_Eosinophil,MCA,Adult-Heart,Heart,Eosinophil,Eosinophil,macrophage,巨噬细胞
MCA_Lung_Eosinophil,MCA,Adult-Lung,Lung,Eosinophil,Eosinophil,neutrophil,中性粒细胞
HCL_Peripheral-Blood_Eosinophil,HCL,Adult-Peripheral-Blood4,Peripheral-Blood,Eosinophil,Eosinophil,eosinophil,嗜酸性粒细胞
MCA_Liver_Eosinophil_Prg2 high,MCA,Ten-Days-Liver,Liver,Eosinophil_Prg2 high,Eosinophil,eosinophil,嗜酸性粒细胞
MCA_Muscle_Eosinophil_Prg2 high,MCA,Adult-Muscle,Muscle,Eosinophil_Prg2 high,Eosinophil,neutrophil,中性粒细胞
HCL_Brain_Ependymal cell,HCL,Fetal-Brain6,Brain,Ependymal cell,Ependymal cell,ciliated cell,纤毛细胞
HCL_Brain_Ependymal cell,HCL,Fetal-Brain4,Brain,Ependymal cell,Ependymal cell,ciliated cell,纤毛细胞
HCL_Brain_Ependymal cell,HCL,Fetal-Brain5,Brain,Ependymal cell,Ependymal cell,ciliated cell,纤毛细胞
MCA_Brain_Ependymal cell,MCA,Arc-ME,Brain,Ependymal cell,Ependymal cell,ciliated cell,纤毛细胞
MCA_Brain_Ependymal cell,MCA,Eighteen-Months-Brain,Brain,Ependymal cell,Ependymal cell,ciliated cell,纤毛细胞
MCA_Brain_Ependymal cell,MCA,Fetal-Brain,Brain,Ependymal cell,Ependymal cell,ciliated cell,纤毛细胞
MCA_Brain_Ependymal cell,MCA,E18-Brain,Brain,Ependymal cell,Ependymal cell,ciliated cell,纤毛细胞
MCA_Brain_Ependymal cell_Mia high,MCA,Neonatal-Brain,Brain,Ependymal cell_Mia high,Ependymal cell,ciliated cell,纤毛细胞
MCA_Brain_Ependymal cell_Rarres2 high,MCA,Two-Years-Brain,Brain,Ependymal cell_Rarres2 high,Ependymal cell,ciliated cell,纤毛细胞
MCA_Brain_Ependymal cell_Tmem212 high,MCA,Neonatal-Brain,Brain,Ependymal cell_Tmem212 high,Ependymal cell,ciliated cell,纤毛细胞
MCA_Brain_Ependymal cell_Tmem212 high,MCA,One-Year-Brain,Brain,Ependymal cell_Tmem212 high,Ependymal cell,ciliated cell,纤毛细胞
MCA_Brain_Ependymal cell_Tmem212 high,MCA,Ten-Days-Brain,Brain,Ependymal cell_Tmem212 high,Ependymal cell,ciliated cell,纤毛细胞
MCA_Brain_Ependymal cell_Tmem212 high,MCA,Three-Weeks-Brain,Brain,Ependymal cell_Tmem212 high,Ependymal cell,ciliated cell,纤毛细胞
MCA_Brain_Ependymal cell_Ttr high,MCA,Adult-Brain,Brain,Ependymal cell_Ttr high,Ependymal cell,ciliated cell,纤毛细胞
MCA_Brain_Ependymal cell_Ttr high,MCA,Neonatal-Brain,Brain,Ependymal cell_Ttr high,Ependymal cell,ciliated cell,纤毛细胞
