index,db,name,tissue,ann,ann_simplify,CL,translate
MCA_Stomach_Pit cell_Muc5ac high,MCA,Eighteen-Months-Stomach,Stomach,Pit cell_Muc5ac high,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell_Muc5b high,MCA,Neonatal-Stomach,Stomach,Pit cell_Muc5b high,Pit cell,foveolar cell of stomach,胃小凹细胞
HCL_Stomach_Pit cell_MUC6 high,HCL,Adult-Stomach3,Stomach,Pit cell_MUC6 high,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell_Psca high,MCA,One-Year-Stomach,Stomach,Pit cell_Psca high,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell_Sprr2a3 high,MCA,Eighteen-Months-Stomach,Stomach,Pit cell_Sprr2a3 high,Pit cell,foveolar cell of stomach,胃小凹细胞
HCL_Stomach_Pit cell_TFF2 high,HCL,Adult-Stomach1,Stomach,Pit cell_TFF2 high,Pit cell,foveolar cell of stomach,胃小凹细胞
HCL_Stomach_Pit cell_TFF2 high,HCL,Adult-Stomach3,Stomach,Pit cell_TFF2 high,Pit cell,foveolar cell of stomach,胃小凹细胞
HCL_Stomach_Pit cell_WFDC21P high,HCL,Adult-Stomach1,Stomach,Pit cell_WFDC21P high,Pit cell,foveolar cell of stomach,胃小凹细胞
HCL_Placenta_Plasma,HCL,Placenta_VentoTormo,Placenta,Plasma,Plasma,?,?
MCA_Bone-Marrow_Plasmacytoid dendritic cell,MCA,Bone-Marrow,Bone-Marrow,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
MCA_Heart_Plasmacytoid dendritic cell,MCA,Adult-Heart,Heart,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
MCA_Liver_Plasmacytoid dendritic cell,MCA,Eighteen-Months-Liver,Liver,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
MCA_Liver_Plasmacytoid dendritic cell,MCA,One-Year-Liver,Liver,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
